name,style,abv,description,image_url
Modelo Especial,Pilsner-style Lager,4.4, An orange blossom honey aroma with a hint of herb,https://www.modelousa.com/cdn/shop/files/Especial-02_0_1024x1024.jpg?v=1638951577
Dos Equis Lager Especial,Golden Pilsner-style,4.2,"Balanced composition and a smooth, clean finish, it’s the party guest who is always invited and never overstays his welcome.",https://dosequis.com/wp-content/uploads/dos-equis-lager-especial-001-1.jpg
Loral Pale Ale,American Pale Ale,5.5,This Pale Ale is made with 100% Loral hops which give it a citrus and floral aromas. Loral Pale Ale comes in at just 5.5% ABV which makes it a must grab for those spring hikes at the river or those days on the lake.,https://beerforce.sg/cdn/shop/files/loral-pale-ale_1080x.png?v=1690531638
Lotus Pale,Pale Ale,5.8,"Ellerslie is the largest Aussie owned independent hop grower. A few of their guys flew to the Barossa to help brew this beer & donated 100% of the ingredients as well. Lotus hops are the primary hop used in this beer, giving it orange/vanilla notes and tropical fruit flavours.",https://beerforce.sg/cdn/shop/files/lotus-pale_1080x.png?v=1690532810
Faith,Hazy Pale Ale,5.4,"A Hazy Pale Ale packed with soft fruit flavours. Smooth, tropical and juicy. You’ve got to have Faith.",https://beerforce.sg/cdn/shop/files/faith-440-ml_1080x.png?v=1694277743
DB 2023,Imperial Stout,12.5,"DB 2023, a deep black brew with ruby highlights and a mocha head, is here to indulge your senses. Embrace the enticing aromas of brown sugar, hazelnut, and vanilla, supported by notes of sherry, dusty coffee, and red berries.",https://beerforce.sg/cdn/shop/files/db-2023-can_1080x.png?v=1691130807
Sierra Nevada Pale Ale,Pale Ale,5.6,"Heavy on hops, that was always the brewery plan. So in 1980, we loaded Pale Ale up with Cascade—a new hop at the time named after the mountain range—and the intense aromas of pine and citrus sparked the American craft beer revolution.",https://beerforce.sg/cdn/shop/products/pale-ale-can_1080x.png?v=1592381189
Super Chill Pacific Ale,Australian Pale Ale,4.2,"Refresh your sense of just how good a cold one can be with this perfectly balanced, endlessly smashable beer. Crisp, clean and great tasting with a light tropical haze and a dry, satisfying finish, it’s the ultimate session beer for kicking back… or kicking on.",https://beerforce.sg/cdn/shop/files/super-chill_1080x.png?v=1692723673
Stone Tangerine Express,Hazy IPA,6.7,"This beer’s uniquely hazy appearance is a credit to the glorious whole tangerine purée in every batch. Using the whole fruit allows us to harness every bit of its natural depth of character, from the juice to the zest and everything in between. Add just the right amount of pineapple and, this being Stone, a whole lot of hops, and this beer is rounded off in an amazingly hazily citrusy tasty paradise of flavours and aromas.",https://beerforce.sg/cdn/shop/files/stone-tangerine-express_1080x.png?v=1694677562
Twilight Summer Ale,Summer Ale,5,Kick back into golden refreshment; bright and crisp like the freshest citrus. Citrus and fruity hop aromas gently join up with a light appealing cereal malt character leaving you with a satisfying finish to savor.,https://beerforce.sg/cdn/shop/products/twilight-summer-ale_1080x.png?v=1632557651
Boulevard Wheat,Unfiltered Wheat Beer,4.4,"This fresh look gives prominence to the refreshing, citrusy, easy-drinking nature of Unfiltered Wheat.",https://thepartysource.com/image/cache/catalog/inventory/BOULEVARD-UNFILTERED-WHEAT-6-PACK-CANS-500x500.jpg
Ad Astra Amber Ale,Amber Ale,5.8,"Ad Astra takes you to heights of flavor, with notes of chocolate & toasted malt balancing a hint of herbal hop character.",https://target.scene7.com/is/image/Target/GUEST_d4582b30-2d1c-45bd-be5e-7bbbc54e2f2a?wid=488&hei=488&fmt=pjpeg
